         ps       /tb/rst        /tb/x             
          delta     /tb/ena   /tb/detector         
                      /tb/clk                      
                       /tb/DetectionCode           
    6850000  +1         0 1 1 10001001 0 1 
    6900000  +1         0 1 0 10001010 0 1 
    6950000  +1         0 1 1 10001010 0 1 
    7000000  +1         0 1 0 00000000 1 1 
    7050000  +2         0 1 1 00000000 1 0 
    7100000  +1         0 1 0 00000010 1 0 
    7150000  +1         0 1 1 00000010 1 0 
    7200000  +1         0 1 0 00000100 1 0 
    7250000  +1         0 1 1 00000100 1 0 
    7300000  +1         0 1 0 00000110 1 0 
    7350000  +1         0 1 1 00000110 1 0 
    7400000  +1         0 1 0 00001000 1 0 
    7450000  +1         0 1 1 00001000 1 0 
    7500000  +1         0 1 0 00001010 1 0 
    7550000  +1         0 1 1 00001010 1 0 
    7600000  +1         0 1 0 00001100 1 0 
    7650000  +1         0 1 1 00001100 1 0 
    7700000  +1         0 1 0 00001110 1 0 
    7750000  +1         0 1 1 00001110 1 0 
    7800000  +1         0 1 0 00010000 1 0 
    7850000  +2         0 1 1 00010000 1 1 
    7900000  +1         0 1 0 00010010 1 1 
    7950000  +1         0 1 1 00010010 1 1 
    8000000  +1         0 1 0 00010100 1 1 
    8050000  +1         0 1 1 00010100 1 1 
    8100000  +1         0 1 0 00010110 1 1 
    8150000  +1         0 1 1 00010110 1 1 
    8200000  +1         0 1 0 00011000 1 1 
    8250000  +1         0 1 1 00011000 1 1 
    8300000  +1         0 1 0 00010110 1 1 
    8350000  +1         0 1 1 00010110 1 1 
    8400000  +1         0 1 0 00010100 1 1 
    8450000  +2         0 1 1 00010100 1 0 
    8500000  +1         0 1 0 00010010 1 0 
    8550000  +1         0 1 1 00010010 1 0 
    8600000  +1         0 1 0 00010000 1 0 
    8650000  +1         0 1 1 00010000 1 0 
    8700000  +1         0 1 0 00001110 1 0 
    8750000  +1         0 1 1 00001110 1 0 
    8800000  +1         0 1 0 00001100 1 0 
    8850000  +1         0 1 1 00001100 1 0 
    8900000  +1         0 1 0 00001010 1 0 
    8950000  +1         0 1 1 00001010 1 0 
    9000000  +1         0 1 0 00001000 1 0 
    9050000  +1         0 1 1 00001000 1 0 
    9100000  +1         0 1 0 00000110 1 0 
    9150000  +1         0 1 1 00000110 1 0 
    9200000  +1         0 1 0 00000100 1 0 
    9250000  +1         0 1 1 00000100 1 0 
    9300000  +1         0 1 0 00000010 1 0 
    9350000  +1         0 1 1 00000010 1 0 
    9400000  +1         0 1 0 00000000 1 0 
    9450000  +1         0 1 1 00000000 1 0 
    9500000  +1         0 1 0 00000010 1 0 
    9550000  +1         0 1 1 00000010 1 0 
    9600000  +1         0 1 0 00000100 1 0 
    9650000  +1         0 1 1 00000100 1 0 
    9700000  +1         0 1 0 00000110 1 0 
    9750000  +1         0 1 1 00000110 1 0 
    9800000  +1         0 1 0 00001000 1 0 
    9850000  +1         0 1 1 00001000 1 0 
    9900000  +1         0 1 0 00001010 1 0 
    9950000  +1         0 1 1 00001010 1 0 
   10000000  +1         0 1 0 00001100 1 0 
   10050000  +1         0 1 1 00001100 1 0 
   10100000  +1         0 1 0 00001110 1 0 
   10150000  +1         0 1 1 00001110 1 0 
   10200000  +1         0 1 0 00010000 1 0 
   10250000  +2         0 1 1 00010000 1 1 
   10300000  +1         0 1 0 00010010 1 1 
   10350000  +1         0 1 1 00010010 1 1 
   10400000  +1         0 1 0 00010100 1 1 
   10450000  +1         0 1 1 00010100 1 1 
   10500000  +1         0 1 0 00010110 2 1 
   10550000  +2         0 1 1 00010110 2 0 
   10600000  +1         0 1 0 00011000 2 0 
   10650000  +1         0 1 1 00011000 2 0 
   10700000  +1         0 1 0 00011010 2 0 
   10750000  +1         0 1 1 00011010 2 0 
   10800000  +1         0 1 0 00011100 2 0 
   10850000  +1         0 1 1 00011100 2 0 
